year,country_jodi,product,flow,value_kt_jodi,source_jodi,status,country_dgeg,source_dgeg,value_kt_dgeg,difference_kt,difference_pct_comparison,reconciliation_status
2019,PT,diesel,exports,899.0,JODI,downloaded,PT,DGEG,899.8974925800001,-0.8974925800000619,-0.09973275705291242,within_tolerance
2019,PT,diesel,imports,1075.0,JODI,downloaded,PT,DGEG,1257.735689355,-182.73568935499998,-14.528942042561555,review
2019,PT,gasoline,exports,1572.0,JODI,downloaded,PT,DGEG,1585.34470699,-13.344706990000077,-0.8417542841731172,within_tolerance
2019,PT,gasoline,imports,232.0,JODI,downloaded,PT,DGEG,261.21378153,-29.213781530000006,-11.183859197201219,review
2020,PT,diesel,exports,1304.0,JODI,downloaded,PT,DGEG,1304.96559121,-0.9655912099999568,-0.07399361458294346,within_tolerance
2020,PT,diesel,imports,875.0,JODI,downloaded,PT,DGEG,930.694007085,-55.69400708499995,-5.9841372847599565,review
2020,PT,gasoline,exports,1278.0,JODI,downloaded,PT,DGEG,1271.3433721760002,6.65662782399977,0.5235900835040693,within_tolerance
2020,PT,gasoline,imports,192.0,JODI,downloaded,PT,DGEG,192.841695222,-0.8416952219999985,-0.4364695202617028,within_tolerance
2021,PT,diesel,exports,1378.0,JODI,downloaded,PT,DGEG,1379.195,-1.1949999999999363,-0.08664474566685178,within_tolerance
2021,PT,diesel,imports,1491.0,JODI,downloaded,PT,DGEG,1501.201,-10.201000000000022,-0.6795225955751443,within_tolerance
2021,PT,gasoline,exports,1431.0,JODI,downloaded,PT,DGEG,1055.905,375.095,35.52355562290168,review
2021,PT,gasoline,imports,255.0,JODI,downloaded,PT,DGEG,202.473,52.52699999999999,25.942718288364368,review
2022,PT,diesel,exports,331.0,JODI,downloaded,PT,DGEG,622.203,-291.203,-46.80192798813248,review
2022,PT,diesel,imports,1275.0,JODI,downloaded,PT,DGEG,1316.11,-41.1099999999999,-3.123599091261361,within_tolerance
2022,PT,gasoline,exports,1346.0,JODI,downloaded,PT,DGEG,1501.699,-155.69900000000007,-10.36818963054514,review
2022,PT,gasoline,imports,231.0,JODI,downloaded,PT,DGEG,230.427,0.5730000000000075,0.24866877579450652,within_tolerance
2023,PT,diesel,exports,285.0,JODI,downloaded,PT,DGEG,293.36,-8.360000000000014,-2.8497409326424914,within_tolerance
2023,PT,diesel,imports,1597.0,JODI,downloaded,PT,DGEG,1631.591,-34.590999999999894,-2.1200778871665693,within_tolerance
2023,PT,gasoline,exports,1254.0,JODI,downloaded,PT,DGEG,1254.246,-0.2460000000000946,-0.019613377280062648,within_tolerance
2023,PT,gasoline,imports,348.0,JODI,downloaded,PT,DGEG,343.492,4.507999999999981,1.3124032000745232,within_tolerance
2024,PT,diesel,exports,731.0,JODI,downloaded,PT,DGEG,739.833,-8.83299999999997,-1.1939180869196115,within_tolerance
2024,PT,diesel,imports,1222.0,JODI,downloaded,PT,DGEG,1254.259,-32.259000000000015,-2.5719568286932772,within_tolerance
2024,PT,gasoline,exports,1697.0,JODI,downloaded,PT,DGEG,1319.812,377.1880000000001,28.578918815710125,review
2024,PT,gasoline,imports,302.0,JODI,downloaded,PT,DGEG,299.737,2.262999999999977,0.7549952124695906,within_tolerance
