product,outcome,event_phase,n_months,mean_value,std_value
diesel,imports_kt,energy_stress_2022,10,111.1,27.452787755627945
diesel,imports_kt,matosinhos_transition,10,133.3,73.82569561699594
diesel,imports_kt,post_stress,24,117.45833333333333,35.882633763383396
diesel,imports_kt,pre_matosinhos_closure,232,75.41379310344827,38.89881845667006
gasoline,imports_kt,energy_stress_2022,10,21.0,5.033222956847166
gasoline,imports_kt,matosinhos_transition,10,21.3,10.573026477262264
gasoline,imports_kt,post_stress,24,27.083333333333332,13.487245719621532
gasoline,imports_kt,pre_matosinhos_closure,232,11.612068965517242,8.221786654215185
diesel,exports_kt,energy_stress_2022,10,27.7,33.290138679995515
diesel,exports_kt,matosinhos_transition,10,63.0,43.8583578757294
diesel,exports_kt,post_stress,24,42.333333333333336,37.15498289090157
diesel,exports_kt,pre_matosinhos_closure,232,65.4396551724138,78.9362490093923
gasoline,exports_kt,energy_stress_2022,10,113.8,43.181271660550046
gasoline,exports_kt,matosinhos_transition,10,115.4,48.35103124259319
gasoline,exports_kt,post_stress,24,122.95833333333333,50.24157222569915
gasoline,exports_kt,pre_matosinhos_closure,232,94.23706896551724,48.21030593450173
diesel,demand_kt,energy_stress_2022,10,423.8,43.585930451618594
diesel,demand_kt,matosinhos_transition,10,410.2,34.23383641305127
diesel,demand_kt,post_stress,24,414.6666666666667,33.80978333671131
diesel,demand_kt,pre_matosinhos_closure,232,428.83620689655174,42.29947733663729
gasoline,demand_kt,energy_stress_2022,10,95.4,10.741404832598842
gasoline,demand_kt,matosinhos_transition,10,87.4,8.39576612876329
gasoline,demand_kt,post_stress,24,101.58333333333333,12.154500568018868
gasoline,demand_kt,pre_matosinhos_closure,232,113.25,32.02782205023293
diesel,refinery_output_kt,energy_stress_2022,10,324.6,54.420584340853964
diesel,refinery_output_kt,matosinhos_transition,10,321.9,91.35212702018006
diesel,refinery_output_kt,post_stress,24,311.7083333333333,69.55165685312244
diesel,refinery_output_kt,pre_matosinhos_closure,232,411.4698275862069,87.01494594198266
gasoline,refinery_output_kt,energy_stress_2022,10,193.8,25.589928574430303
gasoline,refinery_output_kt,matosinhos_transition,10,173.7,52.00224354134477
gasoline,refinery_output_kt,post_stress,24,198.20833333333334,60.19170762378044
gasoline,refinery_output_kt,pre_matosinhos_closure,232,193.1594827586207,48.179368109384924
diesel,net_imports_kt,energy_stress_2022,10,83.4,50.74380093502391
diesel,net_imports_kt,matosinhos_transition,10,70.3,100.64685235460118
diesel,net_imports_kt,post_stress,24,75.125,58.94309156702132
diesel,net_imports_kt,pre_matosinhos_closure,232,9.974137931034482,93.71601767547848
gasoline,net_imports_kt,energy_stress_2022,10,-92.8,41.22512718126059
gasoline,net_imports_kt,matosinhos_transition,10,-94.1,51.3018301601198
gasoline,net_imports_kt,post_stress,24,-95.875,56.600286141541254
gasoline,net_imports_kt,pre_matosinhos_closure,232,-82.625,48.835281715781484
diesel,net_import_to_demand_ratio,energy_stress_2022,10,0.1934353661846948,0.11240048667532426
diesel,net_import_to_demand_ratio,matosinhos_transition,10,0.16150336725233144,0.21799063130075835
diesel,net_import_to_demand_ratio,post_stress,24,0.1805418033397297,0.14049244167845099
diesel,net_import_to_demand_ratio,pre_matosinhos_closure,232,0.012955253653458383,0.22835301015545081
gasoline,net_import_to_demand_ratio,energy_stress_2022,10,-0.9763965674904271,0.4359818429930208
gasoline,net_import_to_demand_ratio,matosinhos_transition,10,-1.092960825675695,0.5948834594086957
gasoline,net_import_to_demand_ratio,post_stress,24,-0.9384297670063594,0.5638050133564914
gasoline,net_import_to_demand_ratio,pre_matosinhos_closure,232,-0.8345478729646765,0.6087877303745182
