product,country,regression,lag_rule,adf_statistic,p_value,stationary_5pct,stationary_1pct
diesel,PT,c,AIC,-2.389138792673781,0.14482539912863923,False,False
diesel,PT,c,BIC,-2.108678611623243,0.2410392384681611,False,False
diesel,PT,c,fixed_8,-2.364848877464292,0.1519042647012946,False,False
diesel,PT,ct,AIC,-3.0082772438586236,0.12978154715343104,False,False
diesel,PT,ct,BIC,-2.631858937875175,0.2654479317938431,False,False
diesel,PT,ct,fixed_8,-2.8985340296490882,0.16268956268605694,False,False
diesel,ES,c,AIC,-2.1791171153245976,0.21391184616895248,False,False
diesel,ES,c,BIC,-2.1791171153245976,0.21391184616895248,False,False
diesel,ES,c,fixed_8,-2.067107520116751,0.25794479967569867,False,False
diesel,ES,ct,AIC,-2.7919669039042123,0.19991056820954317,False,False
diesel,ES,ct,BIC,-2.7919669039042123,0.19991056820954317,False,False
diesel,ES,ct,fixed_8,-2.7586737354006874,0.21253663794592587,False,False
gasoline,PT,c,AIC,-2.9432770355211124,0.04054197122698137,True,False
gasoline,PT,c,BIC,-2.9859569655772358,0.03622681790875152,True,False
gasoline,PT,c,fixed_8,-2.988853837565539,0.03594850421739376,True,False
gasoline,PT,ct,AIC,-3.587401837121844,0.03092752580270154,True,False
gasoline,PT,ct,BIC,-3.5574931068454134,0.03362979210866934,True,False
gasoline,PT,ct,fixed_8,-3.6944743409536787,0.02272372234043007,True,False
gasoline,ES,c,AIC,-2.870018846046756,0.04894712909038501,True,False
gasoline,ES,c,BIC,-2.7204730394809378,0.0705620462384049,False,False
gasoline,ES,c,fixed_8,-2.8240653411318153,0.05491757974974834,False,False
gasoline,ES,ct,AIC,-3.7061163717931467,0.021957618671109198,True,False
gasoline,ES,ct,BIC,-3.422210088894613,0.048490470924956876,True,False
gasoline,ES,ct,fixed_8,-3.756807794595184,0.01887845371655205,True,False
