product,value_column,target_year,target_value,baseline_start,baseline_end,baseline_n,baseline_mean,baseline_std,z_score,baseline_median,baseline_mad,robust_z_score,empirical_percentile,baseline_trend_per_year,baseline_trend_t_statistic,baseline_trend_residual_sd,trend_extrapolated_expectation,detrended_z_score,prediction_interval_low,prediction_interval_high,outside_prediction_interval
diesel,exports_kt,2022,622.203,2013,2019,7,1637.3372857142856,535.8358313994795,-1.8944875020078242,1693.0,398.0,-1.8146801049629642,0.0,-103.76478571428584,-1.0298647977564412,533.1492414227264,1014.7485714285713,-0.7362770889086336,235.66641039133447,3039.0081610372367,False
gasoline,exports_kt,2022,1501.699,2013,2019,7,1558.667714285714,318.7257370847828,-0.17873898357495993,1643.801,142.19900000000007,-0.6740306605752712,28.57142857142857,82.54153571428569,1.5092436063729426,289.3957945704785,2053.9169285714283,-1.9081753741136103,724.9261899072937,2392.409238664134,False
diesel,exports_kt,2022,622.203,2013,2020,8,1595.5045,510.0026917385549,-1.908424241217433,1497.8375,470.78549999999996,-1.254514803299823,0.0,-97.06504761904739,-1.2907853535650182,487.3416039005058,1061.646738095239,-0.9017160336365507,316.38573885729943,2874.6232611427004,False
gasoline,exports_kt,2022,1501.699,2013,2020,8,1522.752,312.07900343846086,-0.06746048201910304,1614.5725,220.692,-0.3449700611702346,37.5,31.083880952381072,0.6162374597054754,326.8976417773115,1693.7133452380963,-0.5873836966034152,740.0382717722883,2305.4657282277117,False
diesel,exports_kt,2022,622.203,2015,2020,6,1629.3393333333331,585.4984400224023,-1.7201349559442005,1689.3375,472.3025,-1.5239647458327592,0.0,-267.9867428571432,-3.3157910262430144,338.1000093417909,423.3989904761902,0.5880035611677121,3.6761455447551725,3255.002521121911,False
gasoline,exports_kt,2022,1501.699,2015,2020,6,1652.1693333333333,214.25980616967487,-0.7022797977058467,1692.9005,100.32799999999997,-1.2854202709917886,16.666666666666664,-93.82817142857162,-2.8575370455695133,137.3600396866016,1229.9425619047618,1.978424283476281,1057.267185516459,2247.0714811502075,False
diesel,imports_kt,2022,1316.11,2013,2019,7,861.1647142857142,216.48789021768582,2.101481451257264,856.654,105.346,2.9417237141047448,100.0,88.04567857142862,4.113306516586695,113.26506720303108,1389.438785714286,-0.6474086629273089,294.86296140421143,1427.4664671672172,False
gasoline,imports_kt,2022,230.427,2013,2019,7,156.28114285714287,50.94112001919004,1.4555207485608017,149.197,17.802999999999997,3.0775085318364224,85.71428571428571,16.235392857142877,2.1227435121538067,40.47103353890463,253.69350000000009,-0.574892656932868,23.02636573493683,289.53591997934893,False
diesel,imports_kt,2022,1316.11,2013,2020,8,869.6983749999999,201.87695973958108,2.211305468320237,874.7085,90.0,3.3080136996567586,100.0,64.38622619047626,3.065548334464547,136.11608461635865,1223.8226190476194,0.6780049632818288,363.3782891881338,1376.0184608118661,False
gasoline,imports_kt,2022,230.427,2013,2020,8,160.851125,48.9015505346858,1.422774415928794,151.5985,21.720999999999997,2.4478198440864047,87.5,13.870250000000006,2.366139779137667,37.98993384272997,237.13750000000005,-0.17663889670827165,38.20296695861022,283.4992830413898,False
diesel,imports_kt,2022,1316.11,2015,2020,6,946.7645000000001,164.571653194285,2.2442838291474723,911.0985000000001,52.673,5.186272174202246,100.0,45.37911428571418,1.2043455557132328,157.62457370423837,1150.9705142857142,1.047676017980217,489.8237806682438,1403.7052193317563,False
gasoline,imports_kt,2022,230.427,2015,2020,6,171.80150000000003,50.01934507668009,1.1720565295312555,158.0985,27.819499999999998,1.7536226350870041,83.33333333333334,16.78522857142855,1.6131169367707483,43.52917467367637,247.33502857142855,-0.388429799052759,32.92050150350289,310.68249849649715,False
