year,country,product,flow,source,value_kt
2019,PT,diesel,exports,DGEG,899.8974925800001
2019,PT,diesel,imports,DGEG,1257.735689355
2019,PT,gasoline,exports,DGEG,1585.34470699
2019,PT,gasoline,imports,DGEG,261.21378153
2020,PT,diesel,exports,DGEG,1304.96559121
2020,PT,diesel,imports,DGEG,930.694007085
2020,PT,gasoline,exports,DGEG,1271.3433721760002
2020,PT,gasoline,imports,DGEG,192.841695222
2021,PT,diesel,exports,DGEG,1379.195
2021,PT,diesel,imports,DGEG,1501.201
2021,PT,gasoline,exports,DGEG,1055.905
2021,PT,gasoline,imports,DGEG,202.473
2022,PT,diesel,exports,DGEG,622.203
2022,PT,diesel,imports,DGEG,1316.1100000000001
2022,PT,gasoline,exports,DGEG,1501.699
2022,PT,gasoline,imports,DGEG,230.427
2023,PT,diesel,exports,DGEG,293.36
2023,PT,diesel,imports,DGEG,1631.5910000000001
2023,PT,gasoline,exports,DGEG,1254.246
2023,PT,gasoline,imports,DGEG,343.492
2024,PT,diesel,exports,DGEG,739.833
2024,PT,diesel,imports,DGEG,1254.259
2024,PT,gasoline,exports,DGEG,1319.8120000000001
2024,PT,gasoline,imports,DGEG,299.737
