year,product,flow,value,unit
2024,gasolina,importações,299737.0,toneladas
2024,gasóleo,importações,1254259.0,toneladas
2024,gasolina,exportações,1319812.0,toneladas
2024,gasóleo,exportações,739833.0,toneladas
2023,gasolina,importações,343492.0,toneladas
2023,gasóleo,importações,1631591.0,toneladas
2023,gasolina,exportações,1254246.0,toneladas
2023,gasóleo,exportações,293360.0,toneladas
2021,gasolina,importações,202473.0,toneladas
2021,gasóleo,importações,1501201.0,toneladas
2021,gasolina,exportações,1055905.0,toneladas
2021,gasóleo,exportações,1379195.0,toneladas
2020,gasolina,importações,192841.69522199998,toneladas
2020,gasóleo,importações,930694.0070849999,toneladas
2020,gasolina,exportações,1271343.3721760001,toneladas
2020,gasóleo,exportações,1304965.59121,toneladas
2019,gasolina,importações,261213.78153,toneladas
2019,gasóleo,importações,1257735.689355,toneladas
2019,gasolina,exportações,1585344.70699,toneladas
2019,gasóleo,exportações,899897.4925800001,toneladas
2022,gasolina,importações,230427.0,toneladas
2022,gasóleo,importações,1316110.0,toneladas
2022,gasolina,exportações,1501699.0,toneladas
2022,gasóleo,exportações,622203.0,toneladas
