date,country,product,price_with_tax_eur_per_1000l,price_without_tax_eur_per_1000l
2005-01-03,BE,diesel,891.0,403.45
2005-01-10,BE,diesel,853.0,372.05
2005-01-17,BE,diesel,853.67,372.6
2005-01-24,BE,diesel,855.0,373.7
2005-01-31,BE,diesel,871.33,387.2
2005-02-07,BE,diesel,863.0,372.81
2005-02-14,BE,diesel,861.0,371.16
2005-02-21,BE,diesel,875.0,382.73
2005-02-28,BE,diesel,902.67,405.6
2005-03-07,BE,diesel,898.67,402.29
2005-03-14,BE,diesel,917.67,417.99
2005-03-21,BE,diesel,928.0,426.53
2005-04-04,BE,diesel,960.0,452.98
2005-04-11,BE,diesel,986.0,474.47
2005-04-18,BE,diesel,972.67,453.15
2005-04-25,BE,diesel,967.0,440.56
2005-05-02,BE,diesel,986.0,456.27
2005-05-09,BE,diesel,984.33,454.89
2005-05-16,BE,diesel,984.33,454.89
2005-05-23,BE,diesel,947.0,414.74
2005-05-30,BE,diesel,950.67,417.77
2005-06-06,BE,diesel,1016.0,471.76
2005-06-13,BE,diesel,1022.67,477.27
2005-06-20,BE,diesel,1022.0,476.72
2005-06-27,BE,diesel,1047.33,497.66
2005-07-04,BE,diesel,1039.67,491.32
2005-07-11,BE,diesel,1072.0,520.64
2005-07-18,BE,diesel,1047.5,500.39
2005-07-25,BE,diesel,1034.38,489.55
2005-08-01,BE,diesel,1010.8,470.06
2005-08-08,BE,diesel,1018.6,476.51
2005-08-15,BE,diesel,1018.6,476.51
2005-08-22,BE,diesel,1076.87,529.86
2005-08-29,BE,diesel,1085.63,537.11
2005-09-05,BE,diesel,1108.53,563.83
2005-09-12,BE,diesel,1075.67,536.67
2005-09-19,BE,diesel,1049.0,516.93
2005-09-26,BE,diesel,1085.0,552.29
2005-10-03,BE,diesel,1100.0,564.68
2005-10-10,BE,diesel,1112.67,578.25
2005-10-17,BE,diesel,1116.9,581.75
2005-10-24,BE,diesel,1081.37,552.38
2005-11-07,BE,diesel,1054.47,530.15
2005-11-14,BE,diesel,1036.83,515.58
2005-11-21,BE,diesel,992.27,478.75
2005-11-28,BE,diesel,994.43,480.54
2005-12-05,BE,diesel,984.43,472.27
2005-12-12,BE,diesel,997.8,483.32
2005-12-19,BE,diesel,994.27,480.4
2006-01-09,BE,diesel,1021.43,502.85
2006-01-16,BE,diesel,1029.13,509.21
2006-01-23,BE,diesel,1018.37,500.32
2006-01-30,BE,diesel,1027.13,507.56
2006-02-06,BE,diesel,1020.37,501.97
2006-02-13,BE,diesel,1015.25,497.74
2006-02-20,BE,diesel,1003.77,488.25
2006-02-27,BE,diesel,993.27,479.57
2006-03-06,BE,diesel,999.7,484.89
2006-03-13,BE,diesel,1030.3,510.18
2006-03-20,BE,diesel,990.17,477.01
2006-03-27,BE,diesel,1013.4,496.21
2006-04-03,BE,diesel,1051.13,527.4
2006-04-10,BE,diesel,1060.37,535.93
2006-04-24,BE,diesel,1063.8,542.56
2006-05-01,BE,diesel,1063.8,546.76
2006-05-08,BE,diesel,1038.13,525.55
2006-05-15,BE,diesel,1056.03,541.55
2006-05-22,BE,diesel,1063.0,547.3
2006-05-29,BE,diesel,1040.67,528.85
2006-06-05,BE,diesel,1040.67,530.55
2006-06-12,BE,diesel,1074.9,558.84
2006-06-19,BE,diesel,1042.3,531.9
2006-06-26,BE,diesel,1028.08,520.14
2006-07-03,BE,diesel,1054.03,544.39
2006-07-10,BE,diesel,1051.0,541.89
2006-07-17,BE,diesel,1066.67,554.83
2006-07-24,BE,diesel,1081.63,570.2
2006-07-31,BE,diesel,1052.37,546.02
2006-08-07,BE,diesel,1036.13,532.6
2006-08-14,BE,diesel,1036.13,532.6
2006-08-21,BE,diesel,1035.82,532.34
2006-08-28,BE,diesel,1061.93,559.62
2006-09-04,BE,diesel,1047.3,547.53
2006-09-11,BE,diesel,1024.1,528.35
2006-09-18,BE,diesel,991.0,501.0
