date,country,product,price_with_tax_eur_per_1000l,price_without_tax_eur_per_1000l
2005-01-03,ES,diesel,807.84,396.37
2005-01-10,ES,diesel,807.47,396.03
2005-01-17,ES,diesel,808.08,396.56
2005-01-24,ES,diesel,808.21,396.67
2005-01-31,ES,diesel,813.11,400.89
2005-02-07,ES,diesel,813.34,401.1
2005-02-14,ES,diesel,816.4,403.74
2005-02-21,ES,diesel,820.01,406.86
2005-02-28,ES,diesel,838.65,422.92
2005-03-07,ES,diesel,858.72,440.22
2005-03-14,ES,diesel,862.6,443.57
2005-03-21,ES,diesel,863.79,444.6
2005-04-04,ES,diesel,874.11,453.49
2005-04-11,ES,diesel,877.55,456.44
2005-04-18,ES,diesel,885.75,463.5
2005-04-25,ES,diesel,886.0,463.72
2005-05-02,ES,diesel,879.98,458.53
2005-05-09,ES,diesel,869.57,449.57
2005-05-16,ES,diesel,859.2,440.65
2005-05-23,ES,diesel,859.33,440.75
2005-05-30,ES,diesel,860.48,441.74
2005-06-06,ES,diesel,869.02,449.09
2005-06-13,ES,diesel,889.05,466.35
2005-06-20,ES,diesel,909.13,483.64
2005-06-27,ES,diesel,916.35,489.79
2005-07-04,ES,diesel,923.13,495.63
2005-07-11,ES,diesel,935.86,506.62
2005-07-18,ES,diesel,934.97,505.85
2005-07-25,ES,diesel,931.26,502.63
2005-08-01,ES,diesel,929.81,501.39
2005-08-08,ES,diesel,929.07,500.76
2005-08-15,ES,diesel,929.07,500.76
2005-08-22,ES,diesel,950.57,519.2
2005-08-29,ES,diesel,962.32,529.33
2005-09-05,ES,diesel,981.25,545.71
2005-09-12,ES,diesel,975.44,540.72
2005-09-19,ES,diesel,973.81,539.33
2005-09-26,ES,diesel,974.18,539.65
2005-10-03,ES,diesel,973.76,539.31
2005-10-10,ES,diesel,974.12,539.56
2005-10-17,ES,diesel,974.17,539.6
2005-10-24,ES,diesel,973.53,539.06
2005-11-07,ES,diesel,962.13,529.25
2005-11-14,ES,diesel,945.74,515.12
2005-11-21,ES,diesel,928.58,500.33
2005-11-28,ES,diesel,907.81,482.42
2005-12-05,ES,diesel,897.33,473.84
2005-12-12,ES,diesel,917.34,490.65
2005-12-19,ES,diesel,917.64,490.9
2006-01-09,ES,diesel,925.83,494.68
2006-01-16,ES,diesel,929.94,498.23
2006-01-23,ES,diesel,936.47,503.85
2006-01-30,ES,diesel,944.27,510.57
2006-02-06,ES,diesel,944.43,510.7
2006-02-13,ES,diesel,943.34,509.77
2006-02-20,ES,diesel,939.77,506.68
2006-02-27,ES,diesel,945.8,511.9
2006-03-06,ES,diesel,944.71,510.96
2006-03-13,ES,diesel,951.21,516.57
2006-03-20,ES,diesel,954.63,519.51
