model,n_obs,r_squared,adj_r_squared,residual_sd,durbin_watson,ljung_box_lag,ljung_box_p_value,residual_autocorrelation_5pct
diesel/exports_kt/2013/single event,34,0.7581806998530117,0.7339987698383128,322.747503421182,1.3117185569134446,4,0.07826961954921444,False
diesel/exports_kt/2022/single event,34,0.25286560122719726,0.17815216134991696,567.3052173155219,0.527284380768943,4,1.052630495138852e-06,True
diesel/exports_kt/2022/controlling for 2013,34,0.7718919986930918,0.7311584270311439,313.46399999171143,1.2708689661688157,4,0.03641982448717707,True
diesel/net_import_to_demand_ratio/2013/single event,34,0.5857209239711687,0.5442930163682855,0.11482398719322168,1.4369560486877788,4,0.23523463142063902,False
diesel/net_import_to_demand_ratio/2022/single event,34,0.07408934539211132,-0.018501720068677674,0.17166061524464882,0.7262505396542365,4,0.0001516337863720552,True
diesel/net_import_to_demand_ratio/2022/controlling for 2013,34,0.5995251533822705,0.5280117879148188,0.1128947498957428,1.40200313627953,4,0.16477264758369256,False
gasoline/exports_kt/2013/single event,34,0.7801613657474623,0.7581775023222085,226.64611805976293,1.4147294367915584,4,0.021375720022917155,True
gasoline/exports_kt/2022/single event,34,0.7465450824516735,0.7211995906968408,243.3585657793503,1.3522452851423687,4,0.055466776805224445,False
gasoline/exports_kt/2022/controlling for 2013,34,0.7877462513928805,0.7498437962844662,222.70191976970256,1.5681241587203778,4,0.05691891638723544,False
gasoline/net_import_to_demand_ratio/2013/single event,34,0.83290985409511,0.816200839504621,0.19404458557880558,1.4932495905733592,4,0.06552290804343938,False
gasoline/net_import_to_demand_ratio/2022/single event,34,0.7302671419371078,0.7032938561308186,0.24654320482111897,0.9718167761698641,4,0.0017470556795330218,True
gasoline/net_import_to_demand_ratio/2022/controlling for 2013,34,0.8603016344375756,0.8353554977299997,0.17742784286711175,1.83695278908064,4,0.17044483154434345,False
