,diesel,gasoline
year,0.0,0.0
product,0.0,0.0
exports_kt,0.0,0.0
imports_kt,0.0,0.0
demand_kt,0.0,0.0
refinery_output_kt,0.0,0.0
refining_regime,0.0,0.0
net_imports_kt,0.0,0.0
gross_import_dependence,0.0,0.0
net_import_to_demand_ratio,0.0,0.0
export_to_demand,0.0,0.0
refinery_output_to_demand_ratio,0.0,0.0
imports_kt_yoy_change,0.05,0.05
imports_kt_yoy_pct,0.05,0.05
exports_kt_yoy_change,0.05,0.05
exports_kt_yoy_pct,0.05,0.05
demand_kt_yoy_change,0.05,0.05
demand_kt_yoy_pct,0.05,0.05
refinery_output_kt_yoy_change,0.05,0.05
refinery_output_kt_yoy_pct,0.05,0.05
net_imports_kt_yoy_change,0.05,0.05
