product,event_year,value_column,pre_mean,post_mean,difference,difference_unit,difference_percentage_points,pct_difference,pre_years,post_years
diesel,2021,exports_kt,1112.334,452.9355,-659.3985,level,,-59.28062074880387,3,2
gasoline,2021,exports_kt,1500.1623333333334,1377.9725,-122.18983333333335,level,,-8.14510740726504,3,2
diesel,2021,net_import_to_demand_ratio,-0.023198765293993968,0.2012823061340449,0.2244810714280389,ratio,22.448107142803888,,3,2
gasoline,2021,net_import_to_demand_ratio,-1.3056332867584592,-0.972797742626538,0.3328355441319213,ratio,33.28355441319213,,3,2
diesel,2021,refinery_output_to_demand_ratio,1.010311286163548,0.7726676393717795,-0.23764364679176841,ratio,-23.764364679176843,,3,2
gasoline,2021,refinery_output_to_demand_ratio,2.29986656818632,1.9117810620074678,-0.3880855061788522,ratio,-38.80855061788522,,3,2
diesel,2021,exports_kt,1498.4072,544.6819999999999,-953.7252000000002,level,,-63.64926703502227,5,3
gasoline,2021,exports_kt,1625.4032,1494.6746666666668,-130.7285333333332,level,,-8.042837206997822,5,3
diesel,2021,net_import_to_demand_ratio,-0.10823150421550917,0.16914643140043265,0.2773779356159418,ratio,27.73779356159418,,5,3
gasoline,2021,net_import_to_demand_ratio,-1.4192337249009805,-1.0264969989765254,0.3927367259244552,ratio,39.27367259244552,,5,3
diesel,2021,refinery_output_to_demand_ratio,1.0830562323331623,0.8002550212828382,-0.2828012110503241,ratio,-28.280121105032407,,5,3
gasoline,2021,refinery_output_to_demand_ratio,2.4024312085019117,1.978403242263879,-0.4240279662380326,ratio,-42.40279662380326,,5,3
diesel,2021,exports_kt,1595.5045,544.6819999999999,-1050.8225000000002,level,,-65.86145636066837,8,3
gasoline,2021,exports_kt,1522.752,1494.6746666666668,-28.077333333333172,level,,-1.8438546351167595,8,3
diesel,2021,net_import_to_demand_ratio,-0.153489399705434,0.16914643140043265,0.32263583110586663,ratio,32.263583110586666,,8,3
gasoline,2021,net_import_to_demand_ratio,-1.3073118752289101,-1.0264969989765254,0.28081487625238477,ratio,28.081487625238477,,8,3
diesel,2021,refinery_output_to_demand_ratio,1.1154204318224636,0.8002550212828382,-0.31516541053962543,ratio,-31.516541053962545,,8,3
gasoline,2021,refinery_output_to_demand_ratio,2.299244974289164,1.978403242263879,-0.32084173202528476,ratio,-32.084173202528476,,8,3
diesel,2022,exports_kt,1193.2596666666666,505.9215,-687.3381666666667,level,,-57.601726251816096,3,2
gasoline,2022,exports_kt,1426.8773333333331,1491.1625,64.28516666666678,level,,4.505304356926754,3,2
diesel,2022,net_import_to_demand_ratio,0.003946515481610832,0.18351757968630095,0.1795710642046901,ratio,17.95710642046901,,3,2
gasoline,2022,net_import_to_demand_ratio,-1.2379163346400486,-0.9474583989883676,0.290457935651681,ratio,29.045793565168097,,3,2
diesel,2022,refinery_output_to_demand_ratio,0.9648372569122424,0.7668371882603273,-0.1980000686519151,ratio,-19.80000686519151,,3,2
gasoline,2022,refinery_output_to_demand_ratio,2.2214897172682657,1.9208530796932273,-0.30063663757503845,ratio,-30.063663757503846,,3,2
diesel,2022,exports_kt,1358.6484,505.9215,-852.7269000000001,level,,-62.762882582425306,5,3
gasoline,2022,exports_kt,1561.7923999999998,1491.1625,-70.6298999999999,level,,-4.522361614770309,5,3
diesel,2022,net_import_to_demand_ratio,-0.05696947737232183,0.18351757968630095,0.24048705705862278,ratio,24.04870570586228,,5,3
gasoline,2022,net_import_to_demand_ratio,-1.3749294765809725,-0.9474583989883676,0.42747107759260494,ratio,42.747107759260494,,5,3
diesel,2022,refinery_output_to_demand_ratio,1.0296987064397776,0.7668371882603273,-0.26286151817945025,ratio,-26.286151817945026,,5,3
gasoline,2022,refinery_output_to_demand_ratio,2.352362306010231,1.9208530796932273,-0.43150922631700395,ratio,-43.150922631700396,,5,3
diesel,2022,exports_kt,1556.03025,505.9215,-1050.10875,level,,-67.48639687435383,8,3
gasoline,2022,exports_kt,1539.12025,1491.1625,-47.95775000000003,level,,-3.1159196300613923,8,3
diesel,2022,net_import_to_demand_ratio,-0.11965572333925871,0.18351757968630095,0.30317330302555967,ratio,30.317330302555966,,8,3
gasoline,2022,net_import_to_demand_ratio,-1.3284482571494083,-0.9474583989883676,0.3809898581610407,ratio,38.09898581610407,,8,3
diesel,2022,refinery_output_to_demand_ratio,1.0811665222362932,0.7668371882603273,-0.31432933397596585,ratio,-31.432933397596585,,8,3
gasoline,2022,refinery_output_to_demand_ratio,2.308514245464451,1.9208530796932273,-0.3876611657712239,ratio,-38.76611657712239,,8,3
