product,outcome,n_breaks,break_years,ssr,bic,n_obs,min_segment,earliest_candidate,latest_candidate,selected_by_bic
diesel,exports_kt,0,,11932352.16058244,452.9902518058274,35,5,1995,2019,False
diesel,exports_kt,1,2013,3611324.7520169895,418.2696931547045,35,5,1995,2019,False
diesel,exports_kt,2,"1996,2013",2411564.906418514,411.24743138932484,35,5,1995,2019,False
diesel,exports_kt,3,"1996,2013,2018",1473487.4926729682,401.1155930929682,35,5,1995,2019,True
diesel,imports_kt,0,,2774065.902810843,401.9273762622294,35,5,1995,2019,False
diesel,imports_kt,1,2012,1878250.6922548043,395.3890097516552,35,5,1995,2019,False
diesel,imports_kt,2,"2000,2013",1296882.8945894537,389.53650215900024,35,5,1995,2019,False
diesel,imports_kt,3,"2000,2009,2014",901084.6513758942,383.90300931022335,35,5,1995,2019,True
diesel,refinery_output_kt,0,,17141379.76960107,465.66872284632325,35,5,1995,2019,False
diesel,refinery_output_kt,1,2015,9277218.669144547,451.2917422550327,35,5,1995,2019,False
diesel,refinery_output_kt,2,"2007,2013",4595251.327566633,433.81359650225755,35,5,1995,2019,False
diesel,refinery_output_kt,3,"2007,2013,2018",3215943.0092983306,428.4326939244986,35,5,1995,2019,True
diesel,net_import_to_demand_ratio,0,,1.0416606725649251,-115.89791762333971,35,5,1995,2019,False
diesel,net_import_to_demand_ratio,1,2013,0.43580503258763753,-139.28540070748272,35,5,1995,2019,False
diesel,net_import_to_demand_ratio,2,"1996,2013",0.2923360532664215,-146.14988827180701,35,5,1995,2019,True
diesel,net_import_to_demand_ratio,3,"1995,2001,2013",0.2540131101745807,-143.9573266054408,35,5,1995,2019,False
gasoline,exports_kt,0,,2060999.2175923358,391.52806577950355,35,5,1995,2019,False
gasoline,exports_kt,1,2015,1252775.5465515219,381.21473306854944,35,5,1995,2019,False
gasoline,exports_kt,2,"1999,2015",1000451.2978411142,380.4535676068471,35,5,1995,2019,False
gasoline,exports_kt,3,"1999,2008,2015",790915.6019727672,379.33873135080285,35,5,1995,2019,True
gasoline,imports_kt,0,,120405.64595314173,292.12527361280655,35,5,1995,2019,False
gasoline,imports_kt,1,1995,92752.29670838459,290.1032810819459,35,5,1995,2019,False
gasoline,imports_kt,2,"1995,2013",73682.22649570121,289.15799732924364,35,5,1995,2019,True
gasoline,imports_kt,3,"1995,2009,2014",64291.005128503086,291.4967277354084,35,5,1995,2019,False
gasoline,refinery_output_kt,0,,4434400.629158548,418.345119634766,35,5,1995,2019,False
gasoline,refinery_output_kt,1,1995,2330234.8483458487,402.93599657487033,35,5,1995,2019,False
gasoline,refinery_output_kt,2,"1995,2015",1443017.8391936845,393.27355822566824,35,5,1995,2019,False
gasoline,refinery_output_kt,3,"1995,2008,2015",1133204.6066025922,391.92520626180993,35,5,1995,2019,True
gasoline,net_import_to_demand_ratio,0,,2.3030691135702437,-88.12799395735152,35,5,1995,2019,False
gasoline,net_import_to_demand_ratio,1,2015,0.7635820539095216,-119.65650403372386,35,5,1995,2019,False
gasoline,net_import_to_demand_ratio,2,"1999,2015",0.6200791246942259,-119.83188038458646,35,5,1995,2019,True
gasoline,net_import_to_demand_ratio,3,"2000,2008,2015",0.5370870596197046,-117.75022529980261,35,5,1995,2019,False
