file,rows,columns
annual_interrupted_trend_models.csv,56,"product, outcome, event_year, specification, covariance, interpretation, term, estimate, std_error, p_value, ci_low, ci_high, ci_level, nobs"
annual_model_residual_diagnostics.csv,12,"model, n_obs, r_squared, adj_r_squared, residual_sd, durbin_watson, ljung_box_lag, ljung_box_p_value, residual_autocorrelation_5pct"
annual_panel_missingness.csv,20,"Unnamed: 0, diesel, gasoline"
annual_source_sensitivity.csv,8,"product, outcome, event_year, trade_source, level_change, std_error, p_value, nobs"
article_claim_checks.csv,11,"check, passed, detail"
dependence_pre_post_summary.csv,6,"product, event_year, value_column, pre_mean, post_mean, difference, difference_unit, difference_percentage_points, pct_difference, interpretation"
descriptive_metrics.csv,24,"metric, product, value, unit"
event_window_sensitivity.csv,36,"product, event_year, value_column, pre_mean, post_mean, difference, difference_unit, difference_percentage_points, pct_difference, pre_years, post_years"
exploratory_break_sup_wald.csv,8,"product, outcome, window_start, window_end, sup_wald_statistic, break_year_selected, p_value, null_95th_percentile, n_candidates, n_simulations, significant_5pct, method"
jodi_demand_annual_completeness.csv,50,"year, product, flow_canonical, n_months, missing_months, complete_year, assessment_status"
jodi_dgeg_trade_reconciliation.csv,24,"year, country_jodi, product, flow, value_kt_jodi, source_jodi, status, country_dgeg, source_dgeg, value_kt_dgeg, difference_kt, difference_pct_comparison, reconciliation_status"
jodi_eurostat_reconciliation_summary.csv,1,"comparison, n_cells, n_agree, share_within_tolerance, n_divergent, n_divergent_before_2019, first_year, last_year"
jodi_eurostat_trade_reconciliation.csv,80,"year, country_jodi, product, flow, value_kt_jodi, source_jodi, status, country_eurostat, value_kt_eurostat, source_eurostat, difference_kt, difference_pct_comparison, reconciliation_status"
jodi_refinery_output_annual_completeness.csv,50,"year, product, flow_canonical, n_months, missing_months, complete_year, assessment_status"
jodi_trade_annual_completeness.csv,100,"year, product, flow, n_months, missing_months, complete_year, assessment_status"
metric_catalog.csv,46,"file, rows, columns"
monthly_annual_agreement_summary.csv,4,"flow, n_cells, median_abs_pct, max_abs_pct, share_within_tolerance, worst_year, worst_product"
monthly_annual_balance_reconciliation.csv,184,"product, year, flow, monthly_source_kt, annual_source_kt, difference_kt, difference_pct, within_tolerance"
monthly_event_models.csv,228,"product, outcome, term, estimate, std_error, p_value, n_obs, r2_adj"
monthly_event_phase_summary.csv,48,"product, outcome, event_phase, n_months, mean_value, std_value"
price_adf_lag_sensitivity.csv,24,"product, country, regression, lag_rule, adf_statistic, p_value, stationary_5pct, stationary_1pct"
price_cointegrating_slope_tests.csv,6,"product, estimator, leads_lags, nobs, slope, std_error, t_statistic_vs_one, p_value, differs_from_one_5pct"
price_comovement_models.csv,12,"product, term, estimate, std_error, p_value, nobs, covariance, outcome, comparison, model, model_family, levels_model_valid"
price_ecm_half_lives.csv,4,"product, phase, adjustment_speed, half_life_weeks, model"
price_ecm_models.csv,16,"product, term, estimate, std_error, p_value, nobs, cointegrating_constant, cointegrating_slope, covariance, model_family, model"
price_elasticity_unit_tests.csv,4,"product, phase, elasticity, std_error, t_statistic_vs_one, p_value, differs_from_one_5pct, side"
price_kpss_diagnostics.csv,8,"product, country, value_column, regression, nobs, kpss_statistic, p_value, used_lag, rejects_stationarity_5pct"
