pair,product,phase,adjustment_speed,std_error,p_value,embargo_interaction_p_value,n_obs
PT-ES,diesel,before_closure,-0.14152122927799418,0.026584045588603916,1.0176707823783094e-07,0.08173572428401102,993
PT-ES,diesel,closure_to_embargo,-0.8293625408921559,0.13879519001036547,2.2946784915466642e-09,0.08173572428401102,993
PT-ES,diesel,embargo_onward,-0.503233407128612,0.11476411809756853,1.160194466436907e-05,0.08173572428401102,993
FR-ES,diesel,before_closure,-0.07124835412498942,0.012786451753489742,2.515776896834882e-08,0.5565471165580529,993
FR-ES,diesel,closure_to_embargo,-0.14431923904119934,0.06359909447107909,0.0232560001021207,0.5565471165580529,993
FR-ES,diesel,embargo_onward,-0.19670626665086968,0.06164364039420926,0.001417700547778948,0.5565471165580529,993
IT-ES,diesel,before_closure,-0.025766290310114473,0.006701270979222858,0.00012055952587699894,0.1029463834972795,993
IT-ES,diesel,closure_to_embargo,-0.05621958819183821,0.0478852771897984,0.24037601515801998,0.1029463834972795,993
IT-ES,diesel,embargo_onward,-0.24429724955625148,0.10483778709336254,0.019793447499561006,0.1029463834972795,993
DE-ES,diesel,before_closure,-0.2786413424301406,0.05222301669690934,9.522697128007648e-08,0.6086657813649481,993
DE-ES,diesel,closure_to_embargo,-0.09453194905266021,0.1027241477997233,0.35744186642841125,0.6086657813649481,993
DE-ES,diesel,embargo_onward,-0.170264747231335,0.10605054977763097,0.1083825907358673,0.6086657813649481,993
BE-ES,diesel,before_closure,-0.42247214658616117,0.04969313881030722,1.8696414372612062e-17,0.027583095854956927,993
BE-ES,diesel,closure_to_embargo,-0.34825323853949797,0.09708324608618428,0.0003342978695838218,0.027583095854956927,993
BE-ES,diesel,embargo_onward,-0.622302388381984,0.07926540551434795,4.131612975621144e-15,0.027583095854956927,993
