product,term,estimate,std_error,p_value,nobs,covariance,outcome,comparison,model,model_family
diesel,const,8.215624937147053e-05,0.0004188966667662699,0.8445120663577531,993.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
diesel,diff_log_ES,0.7348314026087437,0.034072328117752286,3.682337323743311e-103,993.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
diesel,diff_log_ES_x_post,0.26381948541135514,0.06320126726527635,2.9893616882082745e-05,993.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
diesel,post,-0.0001198390774151621,0.0009530163701212886,0.8999320902446569,993.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
diesel,diff_log_ES_post_period,0.9986508880200988,0.0532308166416824,1.5810494954398586e-78,993.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,"short-run log-difference transmission, post-period level (Wald)",ecm_required
gasoline,const,0.0001547240420213221,0.0005908704721194734,0.7934310751988722,993.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
gasoline,diff_log_ES,0.7997270363478606,0.05927658364612186,1.756135661900775e-41,993.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
gasoline,diff_log_ES_x_post,0.006583728863367918,0.18965070646268897,0.9723069805737721,993.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
gasoline,post,-7.184556603041677e-05,0.0013000278538145963,0.9559276355355119,993.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,short-run log-difference transmission,ecm_required
gasoline,diff_log_ES_post_period,0.8063107652112285,0.1801489893809636,7.612588343123098e-06,993.0,HAC(8),delta log PT pre-tax price,delta log ES pre-tax price,"short-run log-difference transmission, post-period level (Wald)",ecm_required
