check,passed,detail
report_tables_match_bundle,True,all mapped tables verified; not checkable: ['tab:coverage']
report_sample_sizes_match,True,"stated sample sizes [34, 276, 993] match the fitted models"
report_event_interval_correct,True,stated interval matches the configured 10-month gap
disputed_cells_have_sensitivity,True,"8 disputed cell(s), all covered by a sensitivity"
report_prose_matches_bundle,True,every quantity stated in the prose reproduces from the bundle
prose_statistics_match_bundle,True,every quoted statistic reproduces from a recorded one (1092 available)
quantities_written_where_checked,True,every quantity carrying a unit is written where the checks can read it
claim_matrix_matches_cited_source,True,all 38 claim-matrix rows check out
source_swap_survival_reported,True,every result keeps its significance under the source swap
bundle_within_study_window,True,every bundle artifact stays within 1990-2024; 5 declared exemption(s)
prose_uses_licensed_model_family,True,no claim quotes a model family the diagnostics did not licence
prose_uses_current_specification,True,every superseded estimate quoted names the specification it came from
