product,value_column,target_year,target_value,baseline_start,baseline_end,baseline_n,baseline_mean,baseline_std,z_score,baseline_median,baseline_mad,robust_z_score,empirical_percentile
diesel,exports_kt,2022,622.203,2013,2019,7,1637.3372857142856,535.8358313994795,-1.8944875020078242,1693.0,398.0,-1.8146801049629642,0.0
gasoline,exports_kt,2022,1501.699,2013,2019,7,1558.667714285714,318.7257370847828,-0.17873898357495993,1643.801,142.19900000000007,-0.6740306605752712,28.57142857142857
diesel,exports_kt,2022,622.203,2013,2020,8,1595.5045,510.0026917385549,-1.908424241217433,1497.8375,470.78549999999996,-1.254514803299823,0.0
gasoline,exports_kt,2022,1501.699,2013,2020,8,1522.752,312.07900343846086,-0.06746048201910304,1614.5725,220.692,-0.3449700611702346,37.5
diesel,exports_kt,2022,622.203,2015,2020,6,1629.3393333333331,585.4984400224023,-1.7201349559442005,1689.3375,472.3025,-1.5239647458327592,0.0
gasoline,exports_kt,2022,1501.699,2015,2020,6,1652.1693333333333,214.25980616967487,-0.7022797977058467,1692.9005,100.32799999999997,-1.2854202709917886,16.666666666666664
diesel,imports_kt,2022,1316.11,2013,2019,7,861.1647142857142,216.48789021768582,2.101481451257264,856.654,105.346,2.9417237141047448,100.0
gasoline,imports_kt,2022,230.427,2013,2019,7,156.28114285714287,50.94112001919004,1.4555207485608017,149.197,17.802999999999997,3.0775085318364224,85.71428571428571
diesel,imports_kt,2022,1316.11,2013,2020,8,869.6983749999999,201.87695973958108,2.211305468320237,874.7085,90.0,3.3080136996567586,100.0
gasoline,imports_kt,2022,230.427,2013,2020,8,160.851125,48.9015505346858,1.422774415928794,151.5985,21.720999999999997,2.4478198440864047,87.5
diesel,imports_kt,2022,1316.11,2015,2020,6,946.7645000000001,164.571653194285,2.2442838291474723,911.0985000000001,52.673,5.186272174202246,100.0
gasoline,imports_kt,2022,230.427,2015,2020,6,171.80150000000003,50.01934507668009,1.1720565295312555,158.0985,27.819499999999998,1.7536226350870041,83.33333333333334
diesel,demand_kt,2022,4942.212,2013,2019,7,4830.965000000001,190.6399818453622,0.5835449569557634,4830.0,150.9449999999997,0.5014141382781022,71.42857142857143
gasoline,demand_kt,2022,1073.189,2013,2019,7,1066.8337142857142,27.91120936538032,0.2276965369393358,1069.0,23.0,0.12284529528032653,57.14285714285714
diesel,demand_kt,2022,4942.212,2013,2020,8,4782.274125,223.87065440653612,0.7144209026590981,4812.0,170.47249999999985,0.5151962385309465,75.0
gasoline,demand_kt,2022,1073.189,2013,2020,8,1043.861375,69.9254730775917,0.41941260758375115,1068.165,27.835000000000036,0.1217403116799169,62.5
diesel,demand_kt,2022,4942.212,2015,2020,6,4844.532166666667,225.31775752427208,0.4335203510216506,4876.9665,93.47249999999985,0.4708067811113456,66.66666666666666
gasoline,demand_kt,2022,1073.189,2015,2020,6,1026.4818333333335,73.41095184076194,0.6362424882867695,1049.7975000000001,20.879500000000007,0.7556383342655111,83.33333333333334
diesel,refinery_output_kt,2022,4285.346,2013,2019,7,5405.026857142858,548.2532276051606,-2.0422695221216767,5399.0,534.0,-1.4066466896145102,0.0
gasoline,refinery_output_kt,2022,2246.725,2013,2019,7,2460.827142857143,280.0575627970249,-0.7644933445782934,2501.064,163.06399999999985,-1.052036656003274,14.285714285714285
diesel,refinery_output_kt,2022,4285.346,2013,2020,8,5327.305625,553.142018100993,-1.8837108570728012,5311.317,487.1885000000002,-1.4204111119021936,0.0
gasoline,refinery_output_kt,2022,2246.725,2013,2020,8,2397.733,314.7611791274685,-0.4797542073600084,2451.139,205.36099999999988,-0.6713804184224316,25.0
diesel,refinery_output_kt,2022,4285.346,2015,2020,6,5392.4075,616.0302827357597,-1.7970894143119003,5459.317,559.9884999999999,-1.4140158081701648,0.0
gasoline,refinery_output_kt,2022,2246.725,2015,2020,6,2486.6440000000002,289.1713046261679,-0.8296777590368467,2560.032,146.39300000000003,-1.4435299254700276,16.666666666666664
diesel,net_imports_kt,2022,693.9069999999999,2013,2019,7,-776.1725714285715,644.3058080657707,2.281648796309633,-1114.0,388.0,3.1428261997243627,100.0
gasoline,net_imports_kt,2022,-1271.2720000000002,2013,2019,7,-1402.3865714285712,320.24917766111287,0.40941423296117324,-1494.6039999999998,170.47299999999973,0.8836318378595259,71.42857142857143
diesel,net_imports_kt,2022,693.9069999999999,2013,2020,8,-725.8061250000001,613.2861678450976,2.3149276788492448,-855.0,406.5150000000001,2.5699505769494717,100.0
gasoline,net_imports_kt,2022,-1271.2720000000002,2013,2020,8,-1361.900875,317.837861902861,0.28514184703299533,-1409.3674999999998,229.0,0.40674296364759793,62.5
diesel,net_imports_kt,2022,693.9069999999999,2015,2020,6,-682.5748333333333,700.4718832031494,1.9650779229551585,-743.6205,454.24800000000005,2.134514659929138,100.0
gasoline,net_imports_kt,2022,-1271.2720000000002,2015,2020,6,-1480.367833333333,245.86165215862076,0.8504613529499592,-1534.802,162.43449999999996,1.0942783081480043,83.33333333333334
diesel,net_import_to_demand_ratio,2022,0.1404041348286961,2013,2019,7,-0.16341130377758692,0.13356690125151988,2.2746311830216683,-0.2306418219461697,0.08266648009805219,3.0274310565655256,100.0
gasoline,net_import_to_demand_ratio,2022,-1.1845741989528409,2013,2019,7,-1.3195950913657895,0.3208934834488526,0.4207654545109191,-1.454969184446493,0.21436787088836162,0.8507754374220355,71.42857142857143
diesel,net_import_to_demand_ratio,2022,0.1404041348286961,2013,2020,8,-0.153489399705434,0.12680332170218336,2.3177116386933707,-0.1795450489041193,0.08048251372963591,2.6813621733387625,100.0
gasoline,net_import_to_demand_ratio,2022,-1.1845741989528409,2013,2020,8,-1.3073118752289101,0.29911414463495156,0.41033725244208097,-1.3477852490023121,0.1527612447905492,0.7206300606791793,75.0
diesel,net_import_to_demand_ratio,2022,0.1404041348286961,2015,2020,6,-0.14241097052029464,0.14339856224862776,1.9722311082773571,-0.15733894657326655,0.09257593659617344,2.1692997606897824,100.0
gasoline,net_import_to_demand_ratio,2022,-1.1845741989528409,2015,2020,6,-1.4371700793927922,0.18282550003970358,1.3816228063650635,-1.4641543770688967,0.1431252691468603,1.317546844076883,100.0
