year,product,exports_kt,imports_kt,demand_kt,refinery_output_kt,refining_regime,net_imports_kt,gross_import_dependence,net_import_to_demand_ratio,export_to_demand,refinery_output_to_demand_ratio,imports_kt_yoy_change,imports_kt_yoy_pct,exports_kt_yoy_change,exports_kt_yoy_pct,demand_kt_yoy_change,demand_kt_yoy_pct,refinery_output_kt_yoy_change,refinery_output_kt_yoy_pct,net_imports_kt_yoy_change
2005,diesel,211.0,875.0,5632.0,5043.0,two_refineries,664.0,0.1553622159090909,0.11789772727272728,0.03746448863636364,0.8954190340909091,,,,,,,,,
2006,diesel,314.0,635.0,5471.0,5055.0,two_refineries,321.0,0.1160665326265765,0.058673003107293,0.0573935295192835,0.9239627124840066,-240.0,-27.428571428571423,103.0,48.81516587677726,-161.0,-2.8586647727272707,12.0,0.2379535990481907,-343.0
2007,diesel,193.0,775.0,5530.0,4745.0,two_refineries,582.0,0.14014466546112117,0.10524412296564195,0.034900542495479206,0.8580470162748643,140.0,22.047244094488192,-121.0,-38.53503184713376,59.0,1.0784134527508593,-310.0,-6.1325420375865525,261.0
2008,diesel,164.0,1006.0,5450.0,4671.0,two_refineries,842.0,0.18458715596330275,0.1544954128440367,0.030091743119266056,0.8570642201834863,231.0,29.806451612903228,-29.0,-15.025906735751294,-80.0,-1.446654611211573,-74.0,-1.5595363540569007,260.0
2009,diesel,94.0,1475.0,5537.0,4074.0,two_refineries,1381.0,0.26638974173740293,0.24941303955210403,0.016976702185298898,0.7357774968394437,469.0,46.62027833001987,-70.0,-42.6829268292683,87.0,1.5963302752293629,-597.0,-12.780989081567117,539.0
2010,diesel,35.0,1167.0,5601.0,4273.0,two_refineries,1132.0,0.20835565077664703,0.20210676664881272,0.006248884127834315,0.7628994822353151,-308.0,-20.881355932203395,-59.0,-62.76595744680851,64.0,1.1558605743182238,199.0,4.88463426607757,-249.0
2011,diesel,120.0,1315.0,5191.0,3782.0,two_refineries,1195.0,0.25332305914082065,0.23020612598728568,0.023116933153534965,0.728568676555577,148.0,12.682090831191095,85.0,242.85714285714283,-410.0,-7.320121406891622,-491.0,-11.490755909197281,63.0
2012,diesel,349.0,892.0,4678.0,4059.0,two_refineries,543.0,0.19067977768277042,0.11607524583155195,0.07460453185121847,0.8676784950833689,-423.0,-32.167300380228134,229.0,190.83333333333331,-513.0,-9.8824889231362,277.0,7.324167107350599,-652.0
2013,diesel,1692.0,581.0,4535.0,5687.0,two_refineries,-1111.0,0.12811466372657113,-0.24498346196251378,0.3730981256890849,1.2540242557883132,-311.0,-34.865470852017935,1343.0,384.8137535816619,-143.0,-3.056861906797781,1628.0,40.108401084010836,-1654.0
2014,diesel,1295.0,697.0,4697.0,5117.0,two_refineries,-598.0,0.14839259101554184,-0.1273153076431765,0.2757078986587183,1.0894187779433682,116.0,19.965576592082623,-397.0,-23.463356973995275,162.0,3.572216097023162,-570.0,-10.022859152452968,513.0
