year,product,demand_kt,source
2005,diesel,5632.0,JODI
2005,gasoline,1804.0,JODI
2006,diesel,5471.0,JODI
2006,gasoline,1678.0,JODI
2007,diesel,5530.0,JODI
2007,gasoline,1587.0,JODI
2008,diesel,5450.0,JODI
2008,gasoline,1487.0,JODI
2009,diesel,5537.0,JODI
2009,gasoline,1476.0,JODI
2010,diesel,5601.0,JODI
2010,gasoline,1404.0,JODI
2011,diesel,5191.0,JODI
2011,gasoline,1264.0,JODI
2012,diesel,4678.0,JODI
2012,gasoline,1129.0,JODI
2013,diesel,4535.0,JODI
2013,gasoline,1073.0,JODI
2014,diesel,4697.0,JODI
2014,gasoline,1085.0,JODI
2015,diesel,4941.0,JODI
2015,gasoline,1077.0,JODI
2016,diesel,4834.0,JODI
2016,gasoline,1056.0,JODI
2017,diesel,4974.0,JODI
2017,gasoline,1034.0,JODI
2018,diesel,5089.0,JODI
2018,gasoline,1014.0,JODI
2019,diesel,5075.0,JODI
2019,gasoline,1042.0,JODI
2020,diesel,4403.0,JODI
2020,gasoline,885.0,JODI
2021,diesel,4728.0,JODI
2021,gasoline,962.0,JODI
2022,diesel,4962.0,JODI
2022,gasoline,1104.0,JODI
2023,diesel,5084.0,JODI
2023,gasoline,1188.0,JODI
2024,diesel,4868.0,JODI
2024,gasoline,1250.0,JODI
