year,product,refinery_output_kt,source,refining_regime,n_operating_refineries_regime
2005,diesel,5043.0,JODI,two_refineries,2.0
2005,gasoline,2476.0,JODI,two_refineries,2.0
2006,diesel,5055.0,JODI,two_refineries,2.0
2006,gasoline,2726.0,JODI,two_refineries,2.0
2007,diesel,4745.0,JODI,two_refineries,2.0
2007,gasoline,2566.0,JODI,two_refineries,2.0
2008,diesel,4671.0,JODI,two_refineries,2.0
2008,gasoline,2107.0,JODI,two_refineries,2.0
2009,diesel,4074.0,JODI,two_refineries,2.0
2009,gasoline,2025.0,JODI,two_refineries,2.0
2010,diesel,4273.0,JODI,two_refineries,2.0
2010,gasoline,2168.0,JODI,two_refineries,2.0
2011,diesel,3782.0,JODI,two_refineries,2.0
2011,gasoline,1782.0,JODI,two_refineries,2.0
2012,diesel,4059.0,JODI,two_refineries,2.0
2012,gasoline,1805.0,JODI,two_refineries,2.0
2013,diesel,5687.0,JODI,two_refineries,2.0
2013,gasoline,2162.0,JODI,two_refineries,2.0
2014,diesel,5117.0,JODI,two_refineries,2.0
2014,gasoline,1847.0,JODI,two_refineries,2.0
2015,diesel,6279.0,JODI,two_refineries,2.0
2015,gasoline,2632.0,JODI,two_refineries,2.0
2016,diesel,5901.0,JODI,two_refineries,2.0
2016,gasoline,2410.0,JODI,two_refineries,2.0
2017,diesel,5984.0,JODI,two_refineries,2.0
2017,gasoline,2724.0,JODI,two_refineries,2.0
2018,diesel,5228.0,JODI,two_refineries,2.0
2018,gasoline,2549.0,JODI,two_refineries,2.0
2019,diesel,4777.0,JODI,two_refineries,2.0
2019,gasoline,2421.0,JODI,two_refineries,2.0
2020,diesel,4606.0,JODI,two_refineries,2.0
2020,gasoline,1956.0,JODI,two_refineries,2.0
2021,diesel,4199.0,JODI,transition,
2021,gasoline,2076.0,JODI,transition,
2022,diesel,3941.0,JODI,sines_only,1.0
2022,gasoline,2241.0,JODI,sines_only,1.0
2023,diesel,3348.0,JODI,sines_only,1.0
2023,gasoline,2088.0,JODI,sines_only,1.0
2024,diesel,4133.0,JODI,sines_only,1.0
2024,gasoline,2669.0,JODI,sines_only,1.0
