year,country,product,flow,value_kt,source,status
2005,PT,diesel,exports,211.0,JODI,downloaded
2005,PT,diesel,imports,875.0,JODI,downloaded
2005,PT,gasoline,exports,792.0,JODI,downloaded
2005,PT,gasoline,imports,130.0,JODI,downloaded
2006,PT,diesel,exports,314.0,JODI,downloaded
2006,PT,diesel,imports,635.0,JODI,downloaded
2006,PT,gasoline,exports,1273.0,JODI,downloaded
2006,PT,gasoline,imports,104.0,JODI,downloaded
2007,PT,diesel,exports,193.0,JODI,downloaded
2007,PT,diesel,imports,775.0,JODI,downloaded
2007,PT,gasoline,exports,1091.0,JODI,downloaded
2007,PT,gasoline,imports,92.0,JODI,downloaded
2008,PT,diesel,exports,164.0,JODI,downloaded
2008,PT,diesel,imports,1006.0,JODI,downloaded
2008,PT,gasoline,exports,766.0,JODI,downloaded
2008,PT,gasoline,imports,116.0,JODI,downloaded
2009,PT,diesel,exports,94.0,JODI,downloaded
2009,PT,diesel,imports,1475.0,JODI,downloaded
2009,PT,gasoline,exports,836.0,JODI,downloaded
2009,PT,gasoline,imports,235.0,JODI,downloaded
2010,PT,diesel,exports,35.0,JODI,downloaded
2010,PT,diesel,imports,1167.0,JODI,downloaded
2010,PT,gasoline,exports,1035.0,JODI,downloaded
2010,PT,gasoline,imports,175.0,JODI,downloaded
2011,PT,diesel,exports,120.0,JODI,downloaded
2011,PT,diesel,imports,1315.0,JODI,downloaded
2011,PT,gasoline,exports,821.0,JODI,downloaded
2011,PT,gasoline,imports,178.0,JODI,downloaded
2012,PT,diesel,exports,349.0,JODI,downloaded
2012,PT,diesel,imports,892.0,JODI,downloaded
2012,PT,gasoline,exports,901.0,JODI,downloaded
2012,PT,gasoline,imports,160.0,JODI,downloaded
2013,PT,diesel,exports,1692.0,JODI,downloaded
2013,PT,diesel,imports,581.0,JODI,downloaded
2013,PT,gasoline,exports,1212.0,JODI,downloaded
2013,PT,gasoline,imports,104.0,JODI,downloaded
2014,PT,diesel,exports,1295.0,JODI,downloaded
2014,PT,diesel,imports,697.0,JODI,downloaded
2014,PT,gasoline,exports,976.0,JODI,downloaded
2014,PT,gasoline,imports,152.0,JODI,downloaded
2015,PT,diesel,exports,2286.0,JODI,downloaded
2015,PT,diesel,imports,783.0,JODI,downloaded
2015,PT,gasoline,exports,1758.0,JODI,downloaded
2015,PT,gasoline,imports,138.0,JODI,downloaded
2016,PT,diesel,exports,2076.0,JODI,downloaded
2016,PT,diesel,imports,942.0,JODI,downloaded
2016,PT,gasoline,exports,1390.0,JODI,downloaded
2016,PT,gasoline,imports,136.0,JODI,downloaded
2017,PT,diesel,exports,2082.0,JODI,downloaded
2017,PT,diesel,imports,897.0,JODI,downloaded
2017,PT,gasoline,exports,1871.0,JODI,downloaded
2017,PT,gasoline,imports,123.0,JODI,downloaded
2018,PT,diesel,exports,1140.0,JODI,downloaded
2018,PT,diesel,imports,827.0,JODI,downloaded
2018,PT,gasoline,exports,1680.0,JODI,downloaded
2018,PT,gasoline,imports,148.0,JODI,downloaded
2019,PT,diesel,exports,899.0,JODI,downloaded
2019,PT,diesel,imports,1075.0,JODI,downloaded
2019,PT,gasoline,exports,1572.0,JODI,downloaded
2019,PT,gasoline,imports,232.0,JODI,downloaded
2020,PT,diesel,exports,1304.0,JODI,downloaded
2020,PT,diesel,imports,875.0,JODI,downloaded
2020,PT,gasoline,exports,1278.0,JODI,downloaded
2020,PT,gasoline,imports,192.0,JODI,downloaded
2021,PT,diesel,exports,1378.0,JODI,downloaded
2021,PT,diesel,imports,1491.0,JODI,downloaded
2021,PT,gasoline,exports,1431.0,JODI,downloaded
2021,PT,gasoline,imports,255.0,JODI,downloaded
2022,PT,diesel,exports,331.0,JODI,downloaded
2022,PT,diesel,imports,1275.0,JODI,downloaded
2022,PT,gasoline,exports,1346.0,JODI,downloaded
2022,PT,gasoline,imports,231.0,JODI,downloaded
2023,PT,diesel,exports,285.0,JODI,downloaded
2023,PT,diesel,imports,1597.0,JODI,downloaded
2023,PT,gasoline,exports,1254.0,JODI,downloaded
2023,PT,gasoline,imports,348.0,JODI,downloaded
2024,PT,diesel,exports,731.0,JODI,downloaded
2024,PT,diesel,imports,1222.0,JODI,downloaded
2024,PT,gasoline,exports,1697.0,JODI,downloaded
2024,PT,gasoline,imports,302.0,JODI,downloaded
