year,refining_regime,n_operating_refineries_regime
2005,two_refineries,2.0
2006,two_refineries,2.0
2007,two_refineries,2.0
2008,two_refineries,2.0
2009,two_refineries,2.0
2010,two_refineries,2.0
2011,two_refineries,2.0
2012,two_refineries,2.0
2013,two_refineries,2.0
2014,two_refineries,2.0
2015,two_refineries,2.0
2016,two_refineries,2.0
2017,two_refineries,2.0
2018,two_refineries,2.0
2019,two_refineries,2.0
2020,two_refineries,2.0
2021,transition,
2022,sines_only,1.0
2023,sines_only,1.0
2024,sines_only,1.0
