year,product,exports_kt,imports_kt,demand_kt,refinery_output_kt,net_imports_kt,net_import_to_demand_ratio,refinery_output_to_demand_ratio,refining_regime
2012,diesel,350.0,890.0,4641.0,3872.0,540.0,0.1163542340012928,0.8343029519500108,two_refineries
2013,diesel,1693.0,578.0,4551.0,5399.0,-1115.0,-0.2450010986596352,1.1863326741375522,two_refineries
2020,diesel,1302.675,929.434,4441.438,4783.257,-373.241,-0.0840360712003634,1.0769613354953955,two_refineries
2021,diesel,1377.206,1499.906,4780.213,4360.995,122.70000000000005,0.025668312269767,0.912301397448189,transition
2022,diesel,622.203,1316.11,4942.212,4285.346,693.9069999999999,0.1404041348286961,0.8670906873278603,sines_only
2023,diesel,283.668,1631.591,5141.595,3487.259,1347.9229999999998,0.2621604774393937,0.6782445914156988,sines_only
2024,diesel,728.175,1254.293,5016.635,4291.379,526.1179999999999,0.1048746819332082,0.8554297851049557,sines_only
2012,gasoline,898.0,160.0,1127.0,1864.0,-738.0,-0.6548358473824313,1.6539485359361137,two_refineries
2013,gasoline,1293.0,102.0,1100.0,2338.0,-1191.0,-1.0827272727272728,2.125454545454545,two_refineries
2020,gasoline,1271.342,192.841,883.055,1956.074,-1078.5010000000002,-1.2213293622707535,2.215121368431185,two_refineries
2021,gasoline,1423.946,202.473,975.759,2146.288,-1221.473,-1.2518183280912605,2.199608714856845,transition
2022,gasoline,1501.699,230.427,1073.189,2246.725,-1271.2720000000002,-1.1845741989528409,2.093503567405182,sines_only
2023,gasoline,1254.246,346.582,1192.692,2063.427,-907.664,-0.7610212863002351,1.7300585566097535,sines_only
2024,gasoline,1728.079,299.797,1259.624,2659.882,-1428.282,-1.1338955116765002,2.111647602776701,sines_only
